Source,Target,Type,Id,Label,timeset,Weight
@mikekdriggs,@RoseanneOnABC,Directed,417,,,1
@ABC,@realDonaldTrump,Directed,418,,,1
@FoxNews,@FoxNews,Directed,419,,,1
@EduardoR,@therealroseanne,Directed,420,,,1
@Daddio247,@therealroseanne,Directed,421,,,1
@MlSSANDREAG,@MlSSANDREAG,Directed,422,,,1
@Chandrat30,@Dee_NY45,Directed,423,,,1
@Chandrat30,@therealroseanne,Directed,424,,,1
@Chandrat30,@ChelseaClinton,Directed,425,,,1
@Chandrat30,@OpenSociety,Directed,426,,,1
@AliAbunimah,@AliAbunimah,Directed,427,,,1
@FactualStruggle,@jlojno,Directed,428,,,1
@FactualStruggle,@KayaJones,Directed,429,,,1
@FactualStruggle,@therealroseanne,Directed,430,,,1
@67jewelCDH,@67jewelCDH,Directed,431,,,1
@AngrierWHStaff,@AngrierWHStaff,Directed,432,,,1
@jedshug,@jedshug,Directed,433,,,1
@rashiduzzaman82,@rashiduzzaman82,Directed,434,,,1
@rashiduzzaman82,@NBCNews,Directed,435,,,1
@ErengwaM,@MarkDice,Directed,436,,,1
@nycsouthpaw,@nycsouthpaw,Directed,437,,,1
@Toure,@Toure,Directed,438,,,1
@Machaizelli,@Machaizelli,Directed,439,,,1
@robinskyleigh,@robinskyleigh,Directed,440,,,1
@Luvvie,@Luvvie,Directed,441,,,1
@Luvvie,@therealroseanne,Directed,442,,,1
@mflynnJR,@mflynnJR,Directed,443,,,1
@mflynnJR,@therealroseanne,Directed,444,,,1
@JoyceWhiteVance,@JoyceWhiteVance,Directed,445,,,1
@frankpallotta,@frankpallotta,Directed,446,,,1
@frankpallotta,@brianstelter,Directed,447,,,1
@RealNews_Facts,@CNNMoney,Directed,448,,,1
@pinkartgurl59,@irritatedwoman,Directed,449,,,1
@pinkartgurl59,@therealroseanne,Directed,450,,,1
@pinkartgurl59,@TheView,Directed,451,,,1
@karenhunter,@karenhunter,Directed,452,,,1
@joncoopertweets,@BostonGlobe,Directed,453,,,1
@ComfortablySmug,@ComfortablySmug,Directed,454,,,1
@LauraLoomer,@LauraLoomer,Directed,455,,,1
@LauraLoomer,@therealroseanne,Directed,456,,,1
@mikefarb1,@mikefarb1,Directed,457,,,1
@Jake_Vig,@Jake_Vig,Directed,458,,,1
@Philip_Ellis,@Philip_Ellis,Directed,459,,,1
@shawnsBrain66,@BenHowe,Directed,460,,,1
@shawnsBrain66,@therealroseanne,Directed,461,,,1
@RKJ65,@RKJ65,Directed,462,,,1
@RKJ65,@SenateGOP,Directed,463,,,1
@RKJ65,@HouseGOP,Directed,464,,,1
@RKJ65,@SenateDe,Directed,465,,,1
@nbatitlechase1,@davidaxelrod,Directed,466,,,1
@realDonaIdRump,@realDonaIdRump,Directed,467,,,1
@realDonaIdRump,@AP,Directed,468,,,1
@roblee4,@roblee4,Directed,469,,,1
@ohboyvidya,@therealroseanne,Directed,470,,,1
@bears_blackhawk,@ABC,Directed,471,,,1
@bears_blackhawk,@therealroseanne,Directed,472,,,1
@Gingrich_of_PA,@Gingrich_of_PA,Directed,473,,,1
@Gingrich_of_PA,@the,Directed,474,,,1
@trumps_all,@trumps_all,Directed,475,,,1
@trumps_all,@JackPosobiec,Directed,476,,,1
@DevConn5,@soonerrick,Directed,477,,,1
@DevConn5,@BethB1213,Directed,478,,,1
@DevConn5,@therealroseanne,Directed,479,,,1
@DevConn5,@ABCNetwork,Directed,480,,,1
@NPR,@NPR,Directed,481,,,1
@RanttMedia,@RanttMedia,Directed,482,,,1
@RanttMedia,@ABC,Directed,483,,,1
@RanttMedia,@RoseanneOnABC,Directed,484,,,1
@mzjazzybee,@mzjazzybee,Directed,485,,,1
@KenJennings,@KenJennings,Directed,486,,,1
@MikeyJonJon,@MikeyJonJon,Directed,487,,,1
@cchhjh_josette,@therealroseanne,Directed,488,,,1
@EdJaworowicz,@brianstelter,Directed,489,,,1
@anna12061,@anna12061,Directed,490,,,1
@MotherJones,@MotherJones,Directed,491,,,1
@MZiets,@deadline,Directed,492,,,1
@joncoopertweets,@joncoopertweets,Directed,493,,,1
@joncoopertweets,@ABC,Directed,494,,,1
@amaditalks,@amaditalks,Directed,495,,,1
@CP24,@CP24,Directed,496,,,1
@Dictionarycom,@Dictionarycom,Directed,497,,,1
@MollyJongFast,@MollyJongFast,Directed,498,,,1
@MollyJongFast,@seanhannity,Directed,499,,,1
@SH61970,@sweetpeach77,Directed,500,,,1
@SH61970,@ABC,Directed,501,,,1
@SH61970,@RoseanneOnABC,Directed,502,,,1
@SH61970,@ABCWorldNews,Directed,503,,,1
@SH61970,@therealroseanne,Directed,504,,,1
@SH61970,@ABCPolitics,Directed,505,,,1
@SH61970,@ABC_Publicity,Directed,506,,,1
@SH61970,@ABCNetwork,Directed,507,,,1
@Cernovich,@Cernovich,Directed,508,,,1
@sherlovesTrent,@EdKrassen,Directed,509,,,1
@sherlovesTrent,@ABC,Directed,510,,,1
@RobertIger,@RobertIger,Directed,511,,,1
@LessGovMoreFun,@LessGovMoreFun,Directed,512,,,1
@adrycoolwit,@therealroseanne,Directed,513,,,1
@LCNEnterprises,@therealroseanne,Directed,514,,,1
@NYdouchebag,@AulonaBC,Directed,515,,,1
@NYdouchebag,@TheNamesGary,Directed,516,,,1
@NYdouchebag,@JTMYVA,Directed,517,,,1
@NYdouchebag,@therealroseanne,Directed,518,,,1
@bySamRo,@bySamRo,Directed,519,,,1
@keithboykin,@keithboykin,Directed,520,,,1
@DontBooo_Vote,@DontBooo_Vote,Directed,521,,,1
@DontBooo_Vote,@cnnbrk,Directed,522,,,1
@DontBooo_Vote,@dgraz007,Directed,523,,,1
@DontBooo_Vote,@therealroseanne,Directed,524,,,1
