Source,Target,Type,Id,Label,timeset,Weight
@3359_980,@Hoosiers1986,Directed,35463,,,1
@3359_980,@prayingmedic,Directed,35462,,,1
@3359_980,@SBelle1950,Directed,35459,,,1
@3373Jones,@Cernovich,Directed,14997,,,1
@33JamesT,@TomArnold,Directed,43511,,,1
@360flyover,@JackPosobiec,Directed,9446,,,1
@36LawMom,@JoyVBehar,Directed,36236,,,1
@3809ps,@FoxBusiness,Directed,22325,,,1
@3809ps,@JBaker31826004,Directed,22326,,,1
@385parkplace,@BariAWilliams,Directed,40673,,,1
@385parkplace,@blackishabc,Directed,40677,,,1
@385parkplace,@gigikite,Directed,40670,,,1
@385parkplace,@kelleent,Directed,40672,,,1
@385parkplace,@larryhouse,Directed,40671,,,1
@385parkplace,@MARS0411,Directed,40669,,,1
@385parkplace,@SGTreport,Directed,40675,,,1
@38specialcolt,@ks122085,Directed,11716,,,1
@38specialcolt,@WayneDupreeShow,Directed,11715,,,1
@3dogsmax,@YahooEnt,Directed,30214,,,1
@3DTruth,@scottisbell_,Directed,54885,,,1
@3guylink,@BEyedWoman,Directed,32772,,,1
@3guylink,@bigbool1,Directed,32774,,,1
@3guylink,@BJSquirrel,Directed,32776,,,1
@3guylink,@gild228,Directed,38886,,,1
@3guylink,@JHMcGinn,Directed,39576,,,1
@3guylink,@media_auntie,Directed,32779,,,1
@3guylink,@MM4Cance,Directed,56871,,,1
@3guylink,@MM4Cancer,Directed,33744,,,1
@3guylink,@Mschade2020,Directed,39573,,,1
@3guylink,@Nasty_Woman1,Directed,39574,,,1
@3guylink,@pepperjamman1,Directed,32777,,,1
@3guylink,@POOetryman,Directed,32773,,,1
@3guylink,@PuddnHaid,Directed,32778,,,1
@3guylink,@ReginaP87963387,Directed,39572,,,1
@3guylink,@Ruetheday852,Directed,32780,,,1
@3guylink,@thebigotbasher,Directed,32775,,,1
@3guylink,@ThomasA95646091,Directed,39575,,,1
@3jekk,@andylassner,Directed,48417,,,1
@3jekk,@chuckwoolery,Directed,48422,,,1
@3jekk,@FoxNews,Directed,48420,,,1
@3jekk,@JediMasterDre,Directed,48416,,,1
@3jekk,@RealJamesWoods,Directed,48421,,,1
@3jekk,@ScottBaio,Directed,48418,,,1
@3KnockdownRuIe,@certdenied,Directed,50980,,,1
@3KnockdownRuIe,@Disney,Directed,50984,,,1
@3KnockdownRuIe,@KeithOlbermann,Directed,50982,,,1
@3littlepeople,@RTMcFadyen,Directed,48555,,,1
