Assigned To	Code	Date	User	Tweet
Aditya Bhat	Unclear/Unrelated	Tue May 29 18:58:02 +0000 2018	apoliticthot	@funder Roseanne was fired for tweeting offensive, ignorant nonsense....as she should have been. We CAN'T except th... https://t.co/CvCfqOMPsQ
Carmen Collins	Anti-Roseanne	Tue May 29 18:58:02 +0000 2018	walkec50	Roseanne' was a tasteless show pandering to retards and I'm glad she went and got herself cancelled lol
Suzanne Garcia	Neutral	Tue May 29 18:58:02 +0000 2018	BigO_216	Would it really have been that hard for Roseanne to get her show canceled over something half the country found off... https://t.co/R4eHy5nSNR
Sarah Jackson	Unclear/Unrelated	Tue May 29 18:58:02 +0000 2018	mrfabulocity	Roseanne
Michael Joseph, III	Unclear/Unrelated	Tue May 29 18:58:02 +0000 2018	JWeber988	Hours after Roseanne shows racism in a tweet, her show was cancelled.   Donald Trump changes the news cycle wheneve... https://t.co/J2E0Ke7cOA
Carmen Collins	Unclear/Unrelated	Tue May 29 18:58:03 +0000 2018	EricConradFL	@tariqnasheed The derogatory comment made by @therealroseanne in reference to 'Planet of the Apes' movie has proven... https://t.co/5YKWbGKJSU
Sarah Jackson	Anti-Roseanne	Tue May 29 18:58:03 +0000 2018	chilimon22	Goodonya
Michael Joseph, III	Anti-Roseanne	Tue May 29 18:58:03 +0000 2018	fabtravler	@ryanla24 @therealroseanne Saddddd
Aditya Bhat	Anti-Roseanne	Tue May 29 18:58:04 +0000 2018	ResistanceShurl	Thanks to @therealroseanne I just became a @ValerieJarrett follower! :)
Suzanne Garcia	Pro-Roseanne	Tue May 29 18:58:04 +0000 2018	LADY_CON	@THEsaragilbert YOU WOULDN'T EVEN BEEN RELEVANT IF NOT FOR ROSEANNE AND YOU WILL BE FORGOTTEN JUST AS QUICKLY!! SHA... https://t.co/60G0ekdka5
Suzanne Garcia	Unclear/Unrelated	Tue May 29 18:58:04 +0000 2018	MenaOfficial	@therealroseanne Don't be. These people need to grow a spine.they think they can treat Trump however they damn well... https://t.co/eLa5IjzMKQ
Sigfried Gold	Neutral	Tue May 29 18:58:04 +0000 2018	RageAgainstH8	Roseanne' Canceled at ABC Following Racist Tweet https://t.co/VDTRr5ATdg via @thr
Carmen Collins	Pro-Roseanne	Tue May 29 18:58:05 +0000 2018	kayglaze_	@IWillRedPillU @Len21878832 @President1Trump @therealroseanne I am a Trump voter Courtney, but she got what she des... https://t.co/xDy7I1MQfo
Carmen Collins	Unclear/Unrelated	Tue May 29 18:58:05 +0000 2018	beejthepeej	@RealTR_1212 @susannfiori2 @KayaJones @ABCNetwork @jimmykimmel @FLOTUS @therealroseanne You mean like Islam?  True... https://t.co/s7Btq8MIZH
Suzanne Garcia	Unclear/Unrelated	Tue May 29 18:58:05 +0000 2018	JolieSaboteuse	@AmandaNHardwic1 @AJMallinckrodt @CaughtYa164 @therealroseanne Is that why the 'christian-reich' is so full of rapi... https://t.co/k2OSilYRb1
